vesselName,callSign,imoNumber,flag,departedTime
TWM 53 230,,0,SG,2025-07-01 08:05:00
KOUTALIANOS,A8WZ2,9332016,LR,2025-07-01 08:10:00
WAN SENDARI,9V7455,9503718,SG,2025-07-01 08:11:00
MAJESTIC HARMONY,9VCO4,1073121,SG,2025-07-01 08:15:00
BATAMFAST 19,9V9612,9103946,SG,2025-07-01 08:15:00
HORIZON 9,9V2413,9732113,SG,2025-07-01 08:19:00
CASSANDRA,V3UP2,8681513,BZ,2025-07-01 08:20:00
CASSANDRA 2401,,5250184,MY,2025-07-01 08:20:00
NORTH MOON,9V8192,9958303,SG,2025-07-01 08:20:00
SOUTHERN CETACEA,9V9163,9565625,SG,2025-07-01 08:30:00
QUEEN STAR 2,9V8145,9571026,SG,2025-07-01 08:36:00
GOLDEN RAIDER,YC3107,8852124,ID,2025-07-01 08:48:00
WAVEMASTER 7,9V6138,9264257,SG,2025-07-01 08:48:00
MEKELE,ETMK,9617416,ET,2025-07-01 08:50:00
EBBA MAERSK,9VCX8,9321524,SG,2025-07-01 08:50:00
WAVEMASTER 9,9V6140,9275232,SG,2025-07-01 08:53:00
SG PEACE,9V5549,9580936,SG,2025-07-01 08:55:00
BARLIAN T1201,9V7031,9433432,SG,2025-07-01 08:55:00
REGENT GEMINI,9V2453,9736004,SG,2025-07-01 08:55:00
HK TUG 8,9V7834,9557537,SG,2025-07-01 08:56:00
MAERSK DHAKA,3FKF4,9871165,PA,2025-07-01 09:05:00
HOPE C,5LPB9,9978638,LR,2025-07-01 09:05:00
DING HENG 30,BPNZ7,9994917,CN,2025-07-01 09:10:00
LKH 2882,,0,SG,2025-07-01 09:20:00
BOW PLATINUM,LADG8,9777383,NO,2025-07-01 09:25:00
NAVIOS CANARY,3EBN6,9583005,PA,2025-07-01 09:25:00
QUEEN STAR 6,9V3846,9797113,SG,2025-07-01 09:26:00
YEO LIGHTER 5,V3SR3,0,BZ,2025-07-01 09:30:00
BS HAIPHONG,DSEW2,1016501,KR,2025-07-01 09:35:00
FLORIJNGRACHT,PBSU,9428413,NL,2025-07-01 09:40:00
TOLL JADE,9V6672,9355915,SG,2025-07-01 09:44:00
BBC HOUSTON,V2HW4,9885295,AG,2025-07-01 09:45:00
BILBAO KNUTSEN,LAWU8,9236432,NO,2025-07-01 09:50:00
UNITY OF MAJESTIC,9V3152,1035284,SG,2025-07-01 09:54:00
ALASKA DOLPHIN,YDA3679,9701413,ID,2025-07-01 09:55:00
SORIDO BAY 2314,,5330003,ID,2025-07-01 09:55:00
BINTUNI BAY 2330,,0,ID,2025-07-01 09:55:00
DARYA SHANTI,ZDSU8,9711145,GI,2025-07-01 09:55:00
SERENDIPITY,CQ2369,9906465,PT,2025-07-01 10:00:00
SINDO PRINCESS,9V3893,9070888,SG,2025-07-01 10:03:00
FA2,,0,KI,2025-07-01 10:04:00
YM TRIUMPH,D5XC3,9860908,LR,2025-07-01 10:05:00
KARYODHI 3,YDA3434,3760070,ID,2025-07-01 10:08:00
KPS 1305,,0,ID,2025-07-01 10:08:00
OPL EXPRESS 1,9V5007,0,SG,2025-07-01 10:09:00
COUGAR SATU,9M2058,9075424,MY,2025-07-01 10:15:00
ASTRANTIA,7KDY,9477945,JP,2025-07-01 10:15:00
MAGIC CHEMIST,3E5375,9707261,PA,2025-07-01 10:15:00
GOLDEN CURL,9V9207,9348522,SG,2025-07-01 10:17:00
QUEEN STAR 5,9V3845,9797101,SG,2025-07-01 10:22:00
SINDO 12,9V5175,9140839,SG,2025-07-01 10:27:00
HORIZON 8,9V2414,9732125,SG,2025-07-01 10:30:00
EMISSARY,9V8998,9603659,SG,2025-07-01 10:38:00
WOOYANG ARES,3E6669,9826433,PA,2025-07-01 10:47:00
SEA FLYTE,YB3450,8623248,ID,2025-07-01 10:47:00
MERBAU ERA,9V5179,9133680,SG,2025-07-01 10:55:00
TRUE CONRAD,D5NL5,9778430,LR,2025-07-01 11:00:00
GENCO RANGER,V7QM7,9743289,MH,2025-07-01 11:05:00
WAN SENDARI,9V7455,9503718,SG,2025-07-01 11:06:00
CAPTAIN DIMITRIS,V7A4658,9797694,MH,2025-07-01 11:20:00
TOKYO EXPRESS,5LJE6,9193290,LR,2025-07-01 11:30:00
WAVEMASTER 5,9V6136,9257888,SG,2025-07-01 11:33:00
HIGHLINE 58,,5630472,MY,2025-07-01 11:35:00
MEGA DAYA 63,YDB3278,9915571,ID,2025-07-01 11:39:00
MARCOPOLO 258,,5421051,ID,2025-07-01 11:39:00
SANDERLING ACE,V7UZ3,9409481,MH,2025-07-01 11:40:00
RIEVERIA I,T7BC7,9286229,SM,2025-07-01 11:44:00
CONGO RIVER,ORPY,9574523,BE,2025-07-01 11:45:00
SUNLIGHT HERMES,V4XV5,0,KN,2025-07-01 11:48:00
EASTERN ORCHID,D5SB7,9827970,LR,2025-07-01 11:50:00
HIGHLINE 59,9WGV8,9433987,MY,2025-07-01 11:51:00
KHB 2315,,0,SG,2025-07-01 11:53:00
MAJESTIC PASSION,9VCO3,1073119,SG,2025-07-01 11:53:00
ROVORSKY DOLPHIN,YDA3169,8877992,ID,2025-07-01 11:54:00
BINA MARINE 101,9VJH6,9670200,SG,2025-07-01 11:54:00
EXCEL 2501,,0,SG,2025-07-01 11:54:00
XIN BIN ZHOU,BVND5,9185413,CN,2025-07-01 11:55:00
TAQAH,V7ZI4,9501174,MH,2025-07-01 11:55:00
